FG_qid,FG_qid_url,Len,Aen,P694,P48,P2,description_en
Q390128,https://database.factgrid.de/entity/Q390128,"Toprakkale, Eastern Anatolia",Rusahinili,218,Point(43.4064 38.5102),Q8 | Q389596,ancient location and modern archaeological excavation site
Q389945,https://database.factgrid.de/entity/Q389945,Tell Yarah,,219,Point(43.2532 36.4466),Q8 | Q389596,ancient location and modern archaeological excavation site
Q390017,https://database.factgrid.de/entity/Q390017,Nippur (mod. Nuffar),Nippur,22,Point(45.23 32.1271),Q8 | Q389596,ancient location and modern archaeological excavation site
Q389973,https://database.factgrid.de/entity/Q389973,Dura-Europus,mod. Dura-Europus,220,Point(40.7298 34.7479),Q8 | Q389596,ancient location and modern archaeological excavation site
Q2100040,https://database.factgrid.de/entity/Q2100040,Yorgan Tepe,Gasur/Nuzi | mod. Yorgan Tepe,222,Point(44.2546 35.3717),Q389596 | Q8,ancient location and modern archaeological excavation site
Q89588,https://database.factgrid.de/entity/Q89588,Gasur (mod. Yorgan Tepe) : Nuzi (mod. Yorgan Tepe),Nuzi | Gasur | Yūrghān Tapah,222,Point(44.2546 35.3717),Q8,ancient location and modern archaeological excavation site
Q389914,https://database.factgrid.de/entity/Q389914,Marad (mod. Wanna-wa-Sadum),Marad,223,Point(44.7851 32.0917),Q8 | Q389596,ancient location and modern archaeological excavation site
Q390092,https://database.factgrid.de/entity/Q390092,Judi Dagh,Mount Judi | Cudi Dağı,224,Point(42.3668 37.3838),Q8 | Q389596,ancient location and modern archaeological excavation site
Q2099953,https://database.factgrid.de/entity/Q2099953,Hummanu,,225,,Q389596 | Q8,ancient location and modern archaeological excavation site
Q389866,https://database.factgrid.de/entity/Q389866,Tell Ubaid,Tell al-'Ubaid | mod. Tell Ubaid,226,Point(46.0305 30.9722),Q8 | Q389596,ancient location and modern archaeological excavation site
Q390034,https://database.factgrid.de/entity/Q390034,Ankuwa,Alişar Hüyük | Alisar,227,Point(35.2614 39.6059),Q8 | Q389596,ancient location and modern archaeological excavation site
Q389848,https://database.factgrid.de/entity/Q389848,Kutha (mod. Tell Ibrahim),Kutha | Gudua,23,Point(44.6112 32.7605),Q8 | Q389596,ancient location and modern archaeological excavation site
Q390069,https://database.factgrid.de/entity/Q390069,Kurkh,,230,Point(40.5397 37.826),Q8 | Q389596,ancient location and modern archeologoical excavation site
Q389830,https://database.factgrid.de/entity/Q389830,Beisan,,231,Point(43.1037 36.4222),Q8 | Q389596,ancient location and modern archaeological excavation site
Q389845,https://database.factgrid.de/entity/Q389845,Tell Abu Qubur,,233,Point(44.2185 33.1455),Q8 | Q389596,ancient location and modern archaeological excavation site
Q389948,https://database.factgrid.de/entity/Q389948,Kar-Tukulti-Ninurta (mod. Tulul al-ʿAqir),Kar-Tukulti-Ninurta,234,Point(43.2793 35.4944),Q8 | Q389596,ancient location and modern archaeological excavation site
Q389897,https://database.factgrid.de/entity/Q389897,Tall Halawah,Abu Halawa | Tall Ḩalāwah | mod. Abu Halawa,235,Point(44.4874 33.4258),Q8 | Q389596,ancient location and modern archaeological excavation site
Q2099920,https://database.factgrid.de/entity/Q2099920,Bit-ḫulummu,,236,,Q389596 | Q8,ancient location and modern archaeological excavation site
Q389687,https://database.factgrid.de/entity/Q389687,Behistun,,237,Point(47.4318 34.3881),Q8 | Q389596,ancient location and modern archaeological excavation site
Q2099979,https://database.factgrid.de/entity/Q2099979,Nessana,mod. Nessana,238,,Q389596 | Q8,ancient location and modern archaeological excavation site
Q2099906,https://database.factgrid.de/entity/Q2099906,Alu-šabtu,,239,,Q389596 | Q8,ancient location and modern archaeological excavation site
Q389822,https://database.factgrid.de/entity/Q389822,Bassetki,Mardaman,24,Point(42.7213 36.9589),Q8 | Q389596,ancient location and modern archaeological excavation site
Q389823,https://database.factgrid.de/entity/Q389823,Bavian,Khinnis,240,Point(43.42 36.7615),Q8 | Q389596,ancient location and modern archaeological excavation site
Q389859,https://database.factgrid.de/entity/Q389859,Qatara (mod. Tell al Rimah),Tell al-Rimah | Qatara,242,Point(42.45 36.2569),Q8 | Q389596,ancient location and modern archaeological excavation site
Q390073,https://database.factgrid.de/entity/Q390073,Tushhan (mod. Ziyaret Tepe),Tushhan | Ziyaret Tepe Höyüğü,244,Point(40.7929 37.7936),Q8 | Q389596,ancient location and modern archaeological excavation site
Q389790,https://database.factgrid.de/entity/Q389790,Nerebtum (mod. Iščali),Tell Ishchali | Nerebtum,245,Point(44.5828 33.3029),Q8 | Q389596,ancient location and modern archaeological excavation site
Q390067,https://database.factgrid.de/entity/Q390067,Pir Huseyin,,246,Point(40.3875 38.1113),Q8 | Q389596,ancient location and modern archaeological excavation site
Q389732,https://database.factgrid.de/entity/Q389732,Kermanshah,mod. Kermanshah,247,Point(47.0649 34.314),Q8 | Q389596,ancient location and modern archaeological excavation site
Q389855,https://database.factgrid.de/entity/Q389855,Hadidi,,248,Point(38.1507 36.2645),Q8 | Q389596,ancient location and modern archaeological excavation site
Q389840,https://database.factgrid.de/entity/Q389840,Sippar-Yahrurum (mod. Tell Abu Habbah),Sippar,25,Point(44.2552 33.0605),Q8 | Q389596,ancient location and modern archaeological excavation site
Q389853,https://database.factgrid.de/entity/Q389853,Terqa (mod. Ashara),Terqa,250,Point(40.5677 34.9229),Q8 | Q389596,ancient location and modern archaeological excavation site
Q82414,https://database.factgrid.de/entity/Q82414,Isqalluna (mod. Ashkelon),Ashkelon | Isqalluna,251,Point(34.5471 31.6629),Q8 | Q389596,ancient location and modern archaeological excavation site
Q389603,https://database.factgrid.de/entity/Q389603,Adab (mod. Bismaya),Adab (city) | Adab,252,Point(45.6233 31.9509),Q8 | Q389596,ancient location and modern archaeological excavation site
Q389857,https://database.factgrid.de/entity/Q389857,Dilbat (mod. Deilam),Dilbat,253,Point(44.4668 32.2961),Q8 | Q389596,ancient location and modern archaeological excavation site
Q898201,https://database.factgrid.de/entity/Q898201,Geomapping Landscapes of Writing (GLoW),GLoW,253,,Q417872,Research project for building repositories curated datasets
Q389942,https://database.factgrid.de/entity/Q389942,Urkesh (mod. Tell Mozan),Urkesh | Urkiš,254,Point(40.9975 37.0572),Q8 | Q389596,ancient location and modern archaeological excavation site
Q2099987,https://database.factgrid.de/entity/Q2099987,Sagub,,255,,Q389596 | Q8,ancient location and modern archaeological excavation site
Q389918,https://database.factgrid.de/entity/Q389918,Tell Abta,,257,Point(42.5619 35.9432),Q8 | Q389596,ancient location and modern archaeological excavation site
Q2099935,https://database.factgrid.de/entity/Q2099935,Elammu,,258,,Q389596 | Q8,ancient location and modern archaeological excavation site
Q389649,https://database.factgrid.de/entity/Q389649,Tas-Silg,Ta' Berikka | Tas-Silġ,259,Point(14.5519 35.8459),Q8 | Q389596,"is a rounded hilltop on the south-east coast of the island of Malta, overlooking Marsaxlokk Bay, and close to the town of Żejtun"
Q389854,https://database.factgrid.de/entity/Q389854,Tuttul (mod. Tell Bi'a),Tuttul,26,Point(39.0471 35.958),Q8 | Q389596,ancient location and modern archaeological excavation site
Q389891,https://database.factgrid.de/entity/Q389891,Nabada,Tell Beydar | Tall Baiydar,260,Point(40.5872 36.7381),Q8 | Q389596,ancient location and modern archaeological excavation site
Q389799,https://database.factgrid.de/entity/Q389799,Mazyad,,262,Point(44.5561 32.5932),Q8 | Q389596,ancient location and modern archaeological excavation site
Q390056,https://database.factgrid.de/entity/Q390056,Huzirina (mod. Sultantepe),Sultantepe | Huzirina,263,Point(38.9062 37.0501),Q8 | Q389596,ancient location and modern archaeological excavation site
Q389849,https://database.factgrid.de/entity/Q389849,Old Makhmur,,264,Point(43.5551 35.7742),Q8 | Q389596,ancient location and modern archaeological excavation site
Q389610,https://database.factgrid.de/entity/Q389610,Akhetaten (mod. el-Amarna),Amarna | Akhetaten,266,Point(30.8959 27.64),Q8 | Q389596,ancient location and modern archaeological excavation site
