audit_status,cdli_id,factgrid_qid,artifact_label,live_label_en,live_description_en,expected_period_qid,expected_period_label,live_period_property,live_period_qid,live_period_label,live_cdli_id
no_expected_no_live,430997,Q2169096,,"Cuneiform Tablet RA 028, 105",CDLI artifact: tablet; CDLI P430997,,,,,,P430997
no_expected_no_live,431369,Q2032021,,Cuneiform Tablet SE 089,"CDLI artifact: tablet; held by Couvent Saint-Étienne, Jerusalem; CDLI P431369",,,,,,P431369
no_expected_no_live,431386,Q2142926,,Cuneiform Tablet SE 107,"CDLI artifact: tablet; held by Couvent Saint-Étienne, Jerusalem; CDLI P431386",,,,,,P431386
no_expected_no_live,431390,Q2169581,,Cuneiform Tablet SE 112,"CDLI artifact: tablet; held by Couvent Saint-Étienne, Jerusalem; CDLI P431390",,,,,,P431390
no_expected_no_live,431410,Q2168418,,Cuneiform Artifact CDLI Seals 006368 (physical),"CDLI artifact: Cylinder seal; held by Couvent Saint-Étienne, Jerusalem; CDLI P431410",,,,,,P431410
no_expected_no_live,432800,Q2169318,,"Cuneiform Tablet OrSP 2, p. 56-57, tab. I, III.","CDLI artifact: tablet; held by Montserrat Museum, Barcelona, Spain; CDLI P432800",,,,,,P432800
no_expected_no_live,432945,Q2169547,,Cuneiform Tablet Fs Sanmartín 293-298 MM unn. 08,"CDLI artifact: tablet; held by Montserrat Museum, Barcelona, Spain; CDLI P432945",,,,,,P432945
no_expected_no_live,433179,Q2170327,,Cuneiform Tablet X.3.207 unpublished assigned,"CDLI artifact: tablet; held by Michael C. Carlos Museum, Emory University, Atlanta, Georgia, USA; CDLI P433179",,,,,,P433179
no_expected_no_live,433180,Q2166180,,Cuneiform Tablet X.3.208 unpublished assigned,"CDLI artifact: tablet; held by Michael C. Carlos Museum, Emory University, Atlanta, Georgia, USA; CDLI P433180",,,,,,P433180
no_expected_no_live,433207,Q2169400,,Cuneiform Tablet X.3.235 unpublished assigned,"CDLI artifact: tablet; held by Michael C. Carlos Museum, Emory University, Atlanta, Georgia, USA; CDLI P433207",,,,,,P433207
